public_id,vendor,invoice_number,status,currency,total,issue_date,due_date,source
INV-2026-00097,Northstar Office Supply,NS-44190,SYNCED,USD,892.00,2026-07-03,2026-08-02,email_webhook
INV-2026-00101,Northstar Office Supply,NS-88421,NEEDS_REVIEW,USD,1248.60,2026-08-12,2026-09-11,email_webhook
INV-2026-00102,Northstar Office Supply,NS-44190,DUPLICATE,USD,892.00,2026-07-03,2026-08-02,api
INV-2026-00103,Meridian Logistics Co,ML-2204-B,NEEDS_REVIEW,EUR,4510.00,2026-08-18,2026-10-02,upload
INV-2026-00104,Harborline Facilities,HL-190-A,NEEDS_REVIEW,GBP,2176.50,2026-08-20,2026-09-19,upload
INV-2026-00105,Atlas Cloud Services,ATLAS-2026-440,FAILED,USD,18400.00,2026-08-01,2026-08-01,email_webhook
INV-2026-00106,Brightleaf Catering,BL-0881,NEEDS_REVIEW,USD,3240.00,2026-08-22,2026-09-06,email_webhook
INV-2026-00107,Copperfield Legal LLP,CF-3102,VALIDATED,GBP,7680.00,2026-08-09,2026-09-08,api
INV-2026-00108,Westgate Industrial,WG-7711,APPROVED,EUR,2662.00,2026-08-16,2026-10-15,upload
INV-2026-00109,Lumen Print Studio,LP-5601,SYNCED,USD,442.80,2026-08-25,2026-09-24,email_webhook
INV-2026-00110,Northstar Office Supply,NS-89002,RECEIVED,USD,237.60,2026-08-28,2026-09-27,upload
INV-2026-00111,Atlas Cloud Services,ATLAS-2026-318,SYNCED,USD,4600.00,2026-06-01,2026-06-01,api
INV-2026-00112,Meridian Logistics Co,ML-1999,REJECTED,EUR,968.00,2026-08-04,2026-09-18,email_webhook
INV-2026-00113,Harborline Facilities,HL-204,SYNCING,GBP,1146.00,2026-08-21,2026-09-20,api
INV-2026-00114,Brightleaf Catering,BL-0902,EXTRACTING,USD,1620.00,2026-08-27,2026-09-11,upload
INV-2026-00115,Copperfield Legal LLP,CF-3110,NEEDS_REVIEW,GBP,3300.00,2026-08-19,2026-09-18,email_webhook
INV-2026-00116,Westgate Industrial,WG-7804,FAILED,EUR,11979.00,2026-08-11,2026-10-10,api
INV-2026-00117,Lumen Print Studio,LP-5610,APPROVED,USD,203.04,2026-08-26,2026-09-25,upload
